1	Bloco 1 – Tema: Cumprimentos e Apresentações (Encontro Casual)	hello	olá	Hello, Mark! I didn't expect to see you here.	[sound:en_1.mp3]	Olá, Mark! Não esperava te ver por aqui.	[sound:pt_1.mp3]	/hɛˈloʊ, mɑrk! aɪ ˈdɪdənt ɪkˈspɛkt tu si ju hɪr/
2	Bloco 1 – Tema: Cumprimentos e Apresentações (Encontro Casual)	morning	manhã / bom dia	Good morning, Paul! I usually buy coffee at this place.	[sound:en_2.mp3]	Bom dia, Paul! Normalmente compro café neste lugar.	[sound:pt_2.mp3]	/ɡʊd ˈmɔrnɪŋ, pɔl! aɪ ˈjuʒuəli baɪ ˈkɑfi æt ðɪs pleɪs/
3	Bloco 1 – Tema: Cumprimentos e Apresentações (Encontro Casual)	how	como	It's a great cafe. How's your new job going?	[sound:en_3.mp3]	É uma ótima cafeteria. Como está indo o emprego novo?	[sound:pt_3.mp3]	/ɪts ə ɡreɪt kæˈfeɪ. haʊz jɔr nu dʒɑb ˈɡoʊɪŋ/
4	Bloco 1 – Tema: Cumprimentos e Apresentações (Encontro Casual)	fine	bem	Everything's fine, I'm really enjoying the new team.	[sound:en_4.mp3]	Está tudo bem, estou gostando bastante da equipe nova.	[sound:pt_4.mp3]	/ˈɛvriˌθɪŋz faɪn, aɪm ˈrɪli ɪnˈdʒɔɪɪŋ ðə nu tim/
5	Bloco 1 – Tema: Cumprimentos e Apresentações (Encontro Casual)	nice	legal / bacana	That's nice! I heard your office is near the park.	[sound:en_5.mp3]	Que legal! Fiquei sabendo que seu escritório é perto do parque.	[sound:pt_5.mp3]	/ðæts naɪs! aɪ hɜrd jɔr ˈɔfɪs ɪz nɪr ðə pɑrk/
6	Bloco 1 – Tema: Cumprimentos e Apresentações (Encontro Casual)	from	de	Yes, it's just two blocks from here.	[sound:en_6.mp3]	Sim, fica a apenas duas quadras daqui.	[sound:pt_6.mp3]	/jɛs, ɪts dʒʌst tu blɑks frʌm hɪr/
7	Bloco 1 – Tema: Cumprimentos e Apresentações (Encontro Casual)	bye	tchau	Oh, my bus is arriving, I have to say bye!	[sound:en_7.mp3]	Ah, meu ônibus está chegando, tenho que dar tchau!	[sound:pt_7.mp3]	/oʊ, maɪ bʌs ɪz əˈraɪvɪŋ, aɪ hæv tu seɪ baɪ/
8	Bloco 1 – Tema: Cumprimentos e Apresentações (Encontro Casual)	later	mais tarde	No problem, we can talk more about it later.	[sound:en_8.mp3]	Sem problema, podemos conversar mais sobre isso mais tarde.	[sound:pt_8.mp3]	/noʊ ˈprɑbləm, wi kæn tɔk mɔr əˈbaʊt ɪt ˈleɪtər/
9	Bloco 1 – Tema: Cumprimentos e Apresentações (Encontro Casual)	have	ter / tomar	Absolutely, we'll have a beer this weekend.	[sound:en_9.mp3]	Com certeza, vamos tomar uma cerveja neste fim de semana.	[sound:pt_9.mp3]	/ˌæbsəˈlutli, wɪl hæv ə bɪr ðɪs ˈwiˌkɛnd/
10	Bloco 1 – Tema: Cumprimentos e Apresentações (Encontro Casual)	excuse	licença	Sure! Excuse me now, I need to grab my order.	[sound:en_10.mp3]	Claro! Com licença, agora preciso pegar meu pedido.	[sound:pt_10.mp3]	/ʃʊr! ɪkˈskjuz mi naʊ, aɪ nid tu ɡræb maɪ ˈɔrdər/
11	Bloco 2 – Tema: Tour por uma Residência Moderna	house	casa	Welcome! This is the best house in the city.	[sound:en_11.mp3]	Bem-vindos! Esta é a melhor casa da cidade.	[sound:pt_11.mp3]	/ˈwɛlkəm! ðɪs ɪz ðə bɛst haʊs ɪn ðə ˈsɪti/
12	Bloco 2 – Tema: Tour por uma Residência Moderna	area	área / espaço	It's huge. I really like this open area.	[sound:en_12.mp3]	É enorme. Eu realmente gosto desta área aberta.	[sound:pt_12.mp3]	/ɪts hjudʒ. aɪ ˈrɪli laɪk ðɪs ˈoʊpən ˈɛriə/
13	Bloco 2 – Tema: Tour por uma Residência Moderna	lounge	sala de estar	Yes, it connects directly to the guest lounge.	[sound:en_13.mp3]	Sim, ela se conecta diretamente à sala de estar para convidados.	[sound:pt_13.mp3]	/jɛs, ɪt kəˈnɛkts dɪˈrɛktli tu ðə ɡɛst laʊndʒ/
14	Bloco 2 – Tema: Tour por uma Residência Moderna	balcony	varanda	Wow, and look at the view from that balcony!	[sound:en_14.mp3]	Nossa, e olha só a vista daquela varanda!	[sound:pt_14.mp3]	/waʊ, ænd lʊk æt ðə vju frʌm ðæt ˈbælkəni/
15	Bloco 2 – Tema: Tour por uma Residência Moderna	kitchen	cozinha	Exactly. Now, let's see the modern kitchen.	[sound:en_15.mp3]	Exatamente. Agora, vamos ver a cozinha moderna.	[sound:pt_15.mp3]	/ɪɡˈzæktli. naʊ, lɛts si ðə ˈmɑdərn ˈkɪtʃən/
16	Bloco 2 – Tema: Tour por uma Residência Moderna	restroom	banheiro	Great! By the way, where's the restroom?	[sound:en_16.mp3]	Ótimo! Aliás, onde fica o banheiro?	[sound:pt_16.mp3]	/ɡreɪt! baɪ ðə weɪ, wɛrz ðə ˈrɛstrum/
17	Bloco 2 – Tema: Tour por uma Residência Moderna	table	mesa	It's right behind that wooden table.	[sound:en_17.mp3]	Fica logo atrás daquela mesa de madeira.	[sound:pt_17.mp3]	/ɪts raɪt bɪˈhaɪnd ðæt ˈwʊdən ˈteɪbəl/
